ペイジェント,株式会社ペイジェント,金融/保険系,東京都渋谷区渋谷二丁目21番1号 渋谷ヒカリエ26F,4億円,上林靖史,51～100人,,2006年5月,[]
SBペイメントサービス,ＳＢペイメントサービス株式会社,IT/通信/インターネット系,東京都港区東新橋１丁目９番２号,"6,075百万円",榛葉 淳,201～300人,,2004年10月,[]
i-GATE銀行決済,株式会社アイゲート,コンサルティング・専門サービス,東京都,,,2～10人,,,[]
法人向けBtoB決済代行サービス,株式会社ROBOT PAYMENT,IT/通信/インターネット系,東京都渋谷区神宮前6-19-20-4F,100百万円,清久 健也,51～100人,,2000年10月,['請求管理ロボ']
ペイジェントの支払い代行サービス,株式会社ペイジェント,IT/通信/インターネット系,東京都渋谷区円山町19-1 渋谷プライムプラザ,4億円,河合 正博,101～200人,https://www.paygent.co.jp/,2006年5月,['ペイジェントの支払い代行サービス']
ペイジェントの支払い代行サービス,株式会社ペイジェント,IT/通信/インターネット系,東京都渋谷区円山町19-1 渋谷プライムプラザ,4億円,河合 正博,101～200人,https://www.paygent.co.jp/,2006年5月,['ペイジェントの支払い代行サービス']
Stripe,Stripe,IT/通信/インターネット系,東京都渋谷区神宮前1-5-8 神宮前タワービルディング 22F,,ダニエル・へフェルナン,51～100人,https://stripe.com/jp,,[]
助太刀法人プラン,株式会社助太刀,IT/通信/インターネット系,東京都渋谷区南平台町２番１７号日交南平台ビル５階,9000万円,我妻陽一,31～50人,https://suke-dachi.jp/,2017年3月,"['助太刀社員', '助太刀法人プラン']"
AI-CON Pro,ＧＶＡ　ＴＥＣＨ株式会社,IT/通信/インターネット系,東京都渋谷区千駄ヶ谷５－１５－６ ＧＶＡフレンズ,7億313万,山本俊,31～50人,https://gvatech.co.jp/,2017年1月,['AI-CON']
AI-CON,ＧＶＡ　ＴＥＣＨ株式会社,IT/通信/インターネット系,東京都渋谷区千駄ヶ谷５－１５－６ ＧＶＡフレンズ,7億313万,山本俊,31～50人,https://gvatech.co.jp/,2017年1月,['AI-CON Pro']
hubble,株式会社Ｈｕｂｂｌｅ,IT/通信/インターネット系,東京都渋谷区神宮前３−２７−１５FLAG３−O,2.3億円（資本準備金・新株予約権を含む）,早川晋平,2～10人,,2016年4月,[]
LegalForce,株式会社LegalForce,IT/通信/インターネット系,東京都江東区豊洲3－2－20　豊洲フロント6階,1530000000,角田 望,201～300人,,2017年3月,"['LegalForceキャビネ', '【BOXIL EXPO】株式会社LegalForce＿LegalForceキャビネ']"
リチェック,株式会社リセ,IT/通信/インターネット系,東京都渋谷区桜丘町４－１７,1億1450万円,藤田美樹,2～10人,https://lisse-law.com,2018年6月,['リチェック']
LAWGUE,FRAIM株式会社,IT/通信/インターネット系,東京都港区南青山２－２７－８　南青山第２シティビル４F,,堀口 圭,11～30人,https://lawgue.com/,,['【BOXIL EXPO】株式会社日本法務システム研究所＿LAWGUE']
クラウドサイン,弁護士ドットコム株式会社,IT/通信/インターネット系,東京都港区六本木４丁目１番４号 黒崎ビル６階,439百万円,内田 陽介,201～300人,https://www.bengo4.com/corporate/about/profile,2005年7月,"['クラウドサイン SCAN', 'クラウドサインNOW']"
NINJA SIGN,株式会社サイトビジット,IT/通信/インターネット系,東京都千代田区神田錦町３－１オームビル２階,"132,420,000円(資本準備金含む)",鬼頭 政人,51～100人,,2013年4月,[]
